date,arena,age_group,home,away,parallel_slot
2026-09-05,Baerum ishall,JU12,Jutul/Jar Kittens,Kongsberg/Tønsberg,0
2026-09-05,Baerum ishall,JU12,Tønsberg,Jar,1
2026-09-05,Baerum ishall,JU12,Jutul/Jar Kittens,Jar,0
2026-09-05,Baerum ishall,JU12,Tønsberg,Kongsberg/Tønsberg,1
2026-09-05,Baerum ishall,JU12,Jutul/Jar Kittens,Tønsberg,0
2026-09-05,Baerum ishall,JU12,Jar,Kongsberg/Tønsberg,1
2026-09-05,Varner Arena / Askerhallen,U12,Frisk Asker 1,Holmen Hockey Hvit,0
2026-09-05,Varner Arena / Askerhallen,U12,Jar Blå,Tønsberg Grå,1
2026-09-05,Varner Arena / Askerhallen,U12,Frisk Asker 1,Tønsberg Grå,0
2026-09-05,Varner Arena / Askerhallen,U12,Jar Blå,Holmen Hockey Hvit,1
2026-09-05,Varner Arena / Askerhallen,U12,Frisk Asker 1,Jar Blå,0
2026-09-05,Varner Arena / Askerhallen,U12,Tønsberg Grå,Holmen Hockey Hvit,1
2027-04-10,Varner Arena / Askerhallen,U8,Frisk Asker 1,Holmen Hockey Sort,0
2027-04-10,Varner Arena / Askerhallen,U8,Frisk Asker 4,Jutul Hvit,1
2027-04-10,Varner Arena / Askerhallen,U8,Holmen Hockey Blå,Ringerike 2,2
2027-04-10,Varner Arena / Askerhallen,U8,Jar Rød,Jar Hvit,3
2027-04-10,Varner Arena / Askerhallen,U8,Frisk Asker 1,Jutul Hvit,0
2027-04-10,Varner Arena / Askerhallen,U8,Ringerike 2,Holmen Hockey Sort,1
2027-04-10,Varner Arena / Askerhallen,U8,Jar Hvit,Frisk Asker 4,2
2027-04-10,Varner Arena / Askerhallen,U8,Jar Rød,Holmen Hockey Blå,3
2027-04-10,Varner Arena / Askerhallen,U8,Frisk Asker 1,Ringerike 2,0
2027-04-10,Varner Arena / Askerhallen,U8,Jutul Hvit,Jar Hvit,1
2027-04-10,Varner Arena / Askerhallen,U8,Holmen Hockey Sort,Jar Rød,2
2027-04-10,Varner Arena / Askerhallen,U8,Frisk Asker 4,Holmen Hockey Blå,3
2027-04-10,Varner Arena / Askerhallen,U8,Frisk Asker 1,Jar Hvit,0
2027-04-10,Varner Arena / Askerhallen,U8,Jar Rød,Ringerike 2,1
2027-04-10,Varner Arena / Askerhallen,U8,Holmen Hockey Blå,Jutul Hvit,2
2027-04-10,Varner Arena / Askerhallen,U8,Frisk Asker 4,Holmen Hockey Sort,3
2027-04-10,Varner Arena / Askerhallen,U8,Frisk Asker 1,Jar Rød,0
2027-04-10,Varner Arena / Askerhallen,U8,Jar Hvit,Holmen Hockey Blå,1
2027-04-10,Varner Arena / Askerhallen,U8,Ringerike 2,Frisk Asker 4,2
2027-04-10,Varner Arena / Askerhallen,U8,Jutul Hvit,Holmen Hockey Sort,3
2027-04-10,Varner Arena / Askerhallen,U8,Frisk Asker 1,Holmen Hockey Blå,0
2027-04-10,Varner Arena / Askerhallen,U8,Frisk Asker 4,Jar Rød,1
2027-04-10,Varner Arena / Askerhallen,U8,Holmen Hockey Sort,Jar Hvit,2
2027-04-10,Varner Arena / Askerhallen,U8,Jutul Hvit,Ringerike 2,3
2027-04-10,Varner Arena / Askerhallen,U8,Frisk Asker 1,Frisk Asker 4,0
2027-04-10,Varner Arena / Askerhallen,U8,Holmen Hockey Blå,Holmen Hockey Sort,1
2027-04-10,Varner Arena / Askerhallen,U8,Jar Rød,Jutul Hvit,2
2027-04-10,Varner Arena / Askerhallen,U8,Jar Hvit,Ringerike 2,3
2027-01-23,Ringerikshallen,U9,Ringerike 1,Sandefjord,0
2027-01-23,Ringerikshallen,U9,Jutul Rød,Jutul Gul,1
2027-01-23,Ringerikshallen,U9,Holmen Hockey Sort,Frisk Asker 3,2
2027-01-23,Ringerikshallen,U9,Jar Hvit,Frisk Asker 4,3
2027-01-23,Ringerikshallen,U9,Ringerike 1,Jutul Gul,0
2027-01-23,Ringerikshallen,U9,Frisk Asker 3,Sandefjord,1
2027-01-23,Ringerikshallen,U9,Frisk Asker 4,Jutul Rød,2
2027-01-23,Ringerikshallen,U9,Jar Hvit,Holmen Hockey Sort,3
2027-01-23,Ringerikshallen,U9,Ringerike 1,Frisk Asker 3,0
2027-01-23,Ringerikshallen,U9,Jutul Gul,Frisk Asker 4,1
2027-01-23,Ringerikshallen,U9,Sandefjord,Jar Hvit,2
2027-01-23,Ringerikshallen,U9,Jutul Rød,Holmen Hockey Sort,3
2027-01-23,Ringerikshallen,U9,Ringerike 1,Frisk Asker 4,0
2027-01-23,Ringerikshallen,U9,Jar Hvit,Frisk Asker 3,1
2027-01-23,Ringerikshallen,U9,Holmen Hockey Sort,Jutul Gul,2
2027-01-23,Ringerikshallen,U9,Jutul Rød,Sandefjord,3
2027-01-23,Ringerikshallen,U9,Ringerike 1,Jar Hvit,0
2027-01-23,Ringerikshallen,U9,Frisk Asker 4,Holmen Hockey Sort,1
2027-01-23,Ringerikshallen,U9,Frisk Asker 3,Jutul Rød,2
2027-01-23,Ringerikshallen,U9,Jutul Gul,Sandefjord,3
2027-01-23,Ringerikshallen,U9,Ringerike 1,Holmen Hockey Sort,0
2027-01-23,Ringerikshallen,U9,Jutul Rød,Jar Hvit,1
2027-01-23,Ringerikshallen,U9,Sandefjord,Frisk Asker 4,2
2027-01-23,Ringerikshallen,U9,Jutul Gul,Frisk Asker 3,3
2027-01-23,Ringerikshallen,U9,Ringerike 1,Jutul Rød,0
2027-01-23,Ringerikshallen,U9,Holmen Hockey Sort,Sandefjord,1
2027-01-23,Ringerikshallen,U9,Jar Hvit,Jutul Gul,2
2027-01-23,Ringerikshallen,U9,Frisk Asker 4,Frisk Asker 3,3
2027-01-31,Baerum ishall,U11,Jutul Grønn,Ringerike 2,0
2027-01-31,Baerum ishall,U11,Skien,Tønsberg Rød,1
2027-01-31,Baerum ishall,U11,Jar Blå,Frisk Asker 3,2
2027-01-31,Baerum ishall,U11,Jutul Grønn,Tønsberg Rød,0
2027-01-31,Baerum ishall,U11,Frisk Asker 3,Ringerike 2,1
2027-01-31,Baerum ishall,U11,Jar Blå,Skien,2
2027-01-31,Baerum ishall,U11,Jutul Grønn,Frisk Asker 3,0
2027-01-31,Baerum ishall,U11,Tønsberg Rød,Jar Blå,1
2027-01-31,Baerum ishall,U11,Ringerike 2,Skien,2
2027-01-31,Baerum ishall,U11,Jutul Grønn,Jar Blå,0
2027-01-31,Baerum ishall,U11,Skien,Frisk Asker 3,1
2027-01-31,Baerum ishall,U11,Ringerike 2,Tønsberg Rød,2
2027-01-31,Baerum ishall,U11,Jutul Grønn,Skien,0
2027-01-31,Baerum ishall,U11,Jar Blå,Ringerike 2,1
2027-01-31,Baerum ishall,U11,Frisk Asker 3,Tønsberg Rød,2
2026-09-06,Holmenkollen ishall,U12,Jar Hvit,Ringerike 2,0
2026-09-06,Holmenkollen ishall,U12,Frisk Asker 4,Tønsberg Hvit,1
2026-09-06,Holmenkollen ishall,U12,Jar Hvit,Tønsberg Hvit,0
2026-09-06,Holmenkollen ishall,U12,Frisk Asker 4,Ringerike 2,1
2026-09-06,Holmenkollen ishall,U12,Jar Hvit,Frisk Asker 4,0
2026-09-06,Holmenkollen ishall,U12,Tønsberg Hvit,Ringerike 2,1
2026-09-12,Baerum ishall,JU10,Skien,Frisk Asker Orange,0
2026-09-12,Baerum ishall,JU10,Jar Rød,Ringerike 1,1
2026-09-12,Baerum ishall,JU10,Jar Blå,Jar Hvit,2
2026-09-12,Baerum ishall,JU10,Skien,Ringerike 1,0
2026-09-12,Baerum ishall,JU10,Jar Hvit,Frisk Asker Orange,1
2026-09-12,Baerum ishall,JU10,Jar Blå,Jar Rød,2
2026-09-12,Baerum ishall,JU10,Skien,Jar Hvit,0
2026-09-12,Baerum ishall,JU10,Ringerike 1,Jar Blå,1
2026-09-12,Baerum ishall,JU10,Frisk Asker Orange,Jar Rød,2
2026-09-12,Baerum ishall,JU10,Skien,Jar Blå,0
2026-09-12,Baerum ishall,JU10,Jar Rød,Jar Hvit,1
2026-09-12,Baerum ishall,JU10,Frisk Asker Orange,Ringerike 1,2
2026-09-12,Baerum ishall,JU10,Skien,Jar Rød,0
2026-09-12,Baerum ishall,JU10,Jar Blå,Frisk Asker Orange,1
2026-09-12,Baerum ishall,JU10,Jar Hvit,Ringerike 1,2
2026-09-12,Sandefjord ishall,U11,Jar Grønn,Frisk Asker 4,0
2026-09-12,Sandefjord ishall,U11,Tønsberg Grå,Kongsberg,1
2026-09-12,Sandefjord ishall,U11,Jar Rød,Holmen Hockey Hvit,2
2026-09-12,Sandefjord ishall,U11,Jar Grønn,Kongsberg,0
2026-09-12,Sandefjord ishall,U11,Holmen Hockey Hvit,Frisk Asker 4,1
2026-09-12,Sandefjord ishall,U11,Jar Rød,Tønsberg Grå,2
2026-09-12,Sandefjord ishall,U11,Jar Grønn,Holmen Hockey Hvit,0
2026-09-12,Sandefjord ishall,U11,Kongsberg,Jar Rød,1
2026-09-12,Sandefjord ishall,U11,Frisk Asker 4,Tønsberg Grå,2
2026-09-12,Sandefjord ishall,U11,Jar Grønn,Jar Rød,0
2026-09-12,Sandefjord ishall,U11,Tønsberg Grå,Holmen Hockey Hvit,1
2026-09-12,Sandefjord ishall,U11,Frisk Asker 4,Kongsberg,2
2026-09-12,Sandefjord ishall,U11,Jar Grønn,Tønsberg Grå,0
2026-09-12,Sandefjord ishall,U11,Jar Rød,Frisk Asker 4,1
2026-09-12,Sandefjord ishall,U11,Holmen Hockey Hvit,Kongsberg,2
2026-09-12,Baerum ishall,U12,Jutul Grønn,Tønsberg Rød,0
2026-09-12,Baerum ishall,U12,Jar Lilla,Holmen Hockey Rød,1
2026-09-12,Baerum ishall,U12,Jutul Grønn,Holmen Hockey Rød,0
2026-09-12,Baerum ishall,U12,Jar Lilla,Tønsberg Rød,1
2026-09-12,Baerum ishall,U12,Jutul Grønn,Jar Lilla,0
2026-09-12,Baerum ishall,U12,Holmen Hockey Rød,Tønsberg Rød,1
2026-09-12,Baerum ishall,U7,Jutul Grønn,Jar Grønn,0
2026-09-12,Baerum ishall,U7,Frisk Asker 1,Holmen Hockey Hvit,1
2026-09-12,Baerum ishall,U7,Jar Blå,Holmen Hockey Rød,2
2026-09-12,Baerum ishall,U7,Tønsberg,Frisk Asker 2,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Holmen Hockey Hvit,0
2026-09-12,Baerum ishall,U7,Holmen Hockey Rød,Jar Grønn,1
2026-09-12,Baerum ishall,U7,Frisk Asker 2,Frisk Asker 1,2
2026-09-12,Baerum ishall,U7,Tønsberg,Jar Blå,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Holmen Hockey Rød,0
2026-09-12,Baerum ishall,U7,Holmen Hockey Hvit,Frisk Asker 2,1
2026-09-12,Baerum ishall,U7,Jar Grønn,Tønsberg,2
2026-09-12,Baerum ishall,U7,Frisk Asker 1,Jar Blå,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Frisk Asker 2,0
2026-09-12,Baerum ishall,U7,Tønsberg,Holmen Hockey Rød,1
2026-09-12,Baerum ishall,U7,Jar Blå,Holmen Hockey Hvit,2
2026-09-12,Baerum ishall,U7,Frisk Asker 1,Jar Grønn,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Tønsberg,0
2026-09-12,Baerum ishall,U7,Frisk Asker 2,Jar Blå,1
2026-09-12,Baerum ishall,U7,Holmen Hockey Rød,Frisk Asker 1,2
2026-09-12,Baerum ishall,U7,Holmen Hockey Hvit,Jar Grønn,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Jar Blå,0
2026-09-12,Baerum ishall,U7,Frisk Asker 1,Tønsberg,1
2026-09-12,Baerum ishall,U7,Jar Grønn,Frisk Asker 2,2
2026-09-12,Baerum ishall,U7,Holmen Hockey Hvit,Holmen Hockey Rød,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Frisk Asker 1,0
2026-09-12,Baerum ishall,U7,Jar Blå,Jar Grønn,1
2026-09-12,Baerum ishall,U7,Tønsberg,Holmen Hockey Hvit,2
2026-09-12,Baerum ishall,U7,Frisk Asker 2,Holmen Hockey Rød,3
2026-09-13,Baerum ishall,JU12,Jutul Kittens,Ringerike 2,0
2026-09-13,Baerum ishall,JU12,Jar Hvit,Frisk Asker Svart,1
2026-09-13,Baerum ishall,JU12,Jutul Kittens,Frisk Asker Svart,0
2026-09-13,Baerum ishall,JU12,Jar Hvit,Ringerike 2,1
2026-09-13,Baerum ishall,JU12,Jutul Kittens,Jar Hvit,0
2026-09-13,Baerum ishall,JU12,Frisk Asker Svart,Ringerike 2,1
2026-09-13,Baerum ishall,U10,Jutul Rød,Jar Grønn,0
2026-09-13,Baerum ishall,U10,Kongsberg,Ringerike 4,1
2026-09-13,Baerum ishall,U10,Frisk Asker 1,Frisk Asker 2,2
