team,games_played,last_game_date
"Frisk Asker 1 (Frisk Asker, U7)",42,2027-04-11
"Frisk Asker 2 (Frisk Asker, U7)",42,2027-04-17
"Frisk Asker 3 (Frisk Asker, U7)",42,2027-04-17
"Holmen Hockey Hvit (Holmen, U7)",42,2027-04-17
"Holmen Hockey Rød (Holmen, U7)",42,2027-04-11
"Holmen Hockey Sort (Holmen, U7)",42,2027-04-17
"Jar Blå (Jar, U7)",42,2027-04-11
"Jar Grønn (Jar, U7)",42,2027-04-11
"Jar Hvit (Jar, U7)",42,2027-04-11
"Jar Rød (Jar, U7)",42,2027-04-17
"Jar Svart (Jar, U7)",42,2027-04-17
"Jutul Grønn (Jutul, U7)",42,2027-04-17
"Jutul Hvit (Jutul, U7)",42,2027-04-11
"Jutul Rød (Jutul, U7)",42,2027-04-17
"Sandefjord (Sandefjord Penguins, U7)",42,2027-04-11
"Tønsberg (Tønsberg, U7)",42,2027-04-11
Frisk Asker,24,2027-04-17
Jar,24,2027-04-17
Jutul Kittens,24,2027-04-17
"Ringerike 1 (Ringerike, JU8)",24,2027-04-17
"Skien (Skien, JU8)",24,2027-04-17
