date,arena,age_group,host_club,team_count,game_count,furthest_travel,cancelled,cancellation_reason
2026-10-03,Askerhallen,JU12,Frisk Asker,4,6,Ringerike 1~50km,nei,
2026-10-03,Askerhallen,JU8,Frisk Asker,5,10,Skien~109km,nei,
2026-10-03,Tonsberghallen,U11,Tønsberg,6,15,Ringerike 1~131km,nei,
2026-10-03,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Grå~82km,nei,
2026-10-04,Ringerikshallen,U10,Ringerike,6,15,Kongsberg~85km,nei,
2026-10-04,Baerum ishall,U11,Jutul,6,15,Tønsberg Hvit~92km,nei,
2026-10-04,Tonsberghallen,U12,Tønsberg,4,6,Jar Hvit~92km,nei,
2026-10-04,Bugården ishall,U8,Sandefjord Penguins,8,28,Ringerike 1~150km,nei,
2026-10-10,Askerhallen,U10,Frisk Asker,6,15,Tønsberg~82km,nei,
2026-10-10,Skien ishall,U11,Skien,6,15,Jar Gul~122km,nei,
2026-10-10,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Rød~82km,nei,
2026-10-10,Holmenkollen ishall,U7,Holmen,8,28,Sandefjord~104km,nei,
2026-10-10,Tonsberghallen,U9,Tønsberg,8,28,Ringerike 1~131km,nei,
2026-10-11,Ringerikshallen,JU10,Ringerike,6,15,Skien~147km,nei,
2026-10-11,Baerum ishall,U10,Jutul,6,15,Ringerike 3~44km,nei,
2026-10-11,Askerhallen,U11,Frisk Asker,6,15,Tønsberg Grå~82km,nei,
2026-10-11,Askerhallen,U12,Frisk Asker,4,6,Kongsberg~62km,nei,
2026-10-17,Ringerikshallen,JU12,Ringerike,4,6,Skien~147km,nei,
2026-10-17,Tonsberghallen,U12,Tønsberg,4,6,Ringerike 2~131km,nei,
2026-10-17,Holmenkollen ishall,U8,Holmen,8,28,Tønsberg~83km,nei,
2026-10-18,Askerhallen,U10,Frisk Asker,6,15,Ringerike 4~50km,nei,
2026-10-18,Bugården ishall,U11,Sandefjord Penguins,6,15,Jar Rød~114km,nei,
2026-10-18,Baerum ishall,U12,Jutul,4,6,Ringerike 1~44km,nei,
2026-10-18,Holmenkollen ishall,U9,Holmen,8,28,Tønsberg~83km,nei,
2026-10-24,Kongsberghallen,U10,Kongsberg,6,15,Ringerike 3~85km,nei,
2026-10-24,Askerhallen,U11,Frisk Asker,6,15,Sandefjord~103km,nei,
2026-10-24,Tonsberghallen,U12,Tønsberg,4,6,Jar Rød~92km,nei,
2026-10-24,Tonsberghallen,U7,Tønsberg,8,28,Jar Hvit~92km,nei,
2026-10-24,Holmenkollen ishall,U9,Holmen,8,28,Sandefjord~104km,nei,
2026-10-25,Holmenkollen ishall,U10,Holmen,6,15,Kongsberg~64km,nei,
2026-10-25,Askerhallen,U11,Frisk Asker,6,15,Skien~109km,nei,
2026-10-25,Tonsberghallen,U12,Tønsberg,4,6,Jar Svart~92km,nei,
2026-10-25,Baerum ishall,U8,Jutul,8,28,Ringerike 1~44km,nei,
2026-10-31,Skien ishall,JU10,Skien,6,15,Ringerike 1~147km,nei,
2026-10-31,Tonsberghallen,U10,Tønsberg,6,15,Ringerike 1~131km,nei,
2026-10-31,Tonsberghallen,U11,Tønsberg,6,15,Ringerike 1~131km,nei,
2026-10-31,Askerhallen,U12,Frisk Asker,4,6,Kongsberg~62km,nei,
2026-11-01,Baerum ishall,JU12,Jutul,4,6,Skien~121km,nei,
2026-11-01,Askerhallen,U10,Frisk Asker,6,15,Ringerike 2~50km,nei,
2026-11-01,Holmenkollen ishall,U11,Holmen,6,15,Skien~111km,nei,
2026-11-01,Tonsberghallen,U12,Tønsberg,4,6,Jar Blå~92km,nei,
2026-11-07,Ringerikshallen,JU12,Ringerike,4,6,Skien~147km,nei,
2026-11-07,Askerhallen,U11,Frisk Asker,6,15,Sandefjord~103km,nei,
2026-11-07,Holmenkollen ishall,U12,Holmen,4,6,Ringerike 2~49km,nei,
2026-11-07,Askerhallen,U8,Frisk Asker,8,28,Sandefjord~103km,nei,
2026-11-08,Askerhallen,U10,Frisk Asker,6,15,Ringerike 2~50km,nei,
2026-11-08,Askerhallen,U11,Frisk Asker,6,15,Kongsberg~62km,nei,
2026-11-08,Baerum ishall,U12,Jutul,4,6,Tønsberg Grå~92km,nei,
2026-11-08,Bugården ishall,U7,Sandefjord Penguins,8,28,Jar Blå~114km,nei,
2026-11-08,Askerhallen,U9,Frisk Asker,8,28,Skien~109km,nei,
2026-11-14,Jarhallen,JU10,Jar,6,15,Skien~122km,nei,
2026-11-14,Askerhallen,JU8,Frisk Asker,5,10,Skien~109km,nei,
2026-11-14,Holmenkollen ishall,U10,Holmen,6,15,Tønsberg~83km,nei,
2026-11-14,Jarhallen,U11,Jar,6,15,Frisk Asker 4~14km,nei,
2026-11-14,Ringerikshallen,U12,Ringerike,3,3,Tønsberg Rød~131km,nei,
2026-11-15,Skien ishall,JU12,Skien,4,6,Ringerike 1~147km,nei,
2026-11-15,Ringerikshallen,U10,Ringerike,6,15,Kongsberg~85km,nei,
2026-11-15,Tonsberghallen,U8,Tønsberg,8,28,Jar Blå~92km,nei,
2026-11-21,Askerhallen,U10,Frisk Asker,6,15,Ringerike 3~50km,nei,
2026-11-21,Baerum ishall,U7,Jutul,8,28,Frisk Asker 1~12km,nei,
2026-11-21,Kongsberghallen,U9,Kongsberg,8,28,Ringerike 1~85km,nei,
2026-11-22,Jarhallen,U10,Jar,3,3,Frisk Asker 6~14km,nei,
2026-11-22,Askerhallen,U7,Frisk Asker,8,28,Sandefjord~103km,nei,
2026-11-22,Bugården ishall,U9,Sandefjord Penguins,8,28,Jar Blå~114km,nei,
2026-11-28,Askerhallen,U8,Frisk Asker,8,28,Skien~109km,nei,
2026-11-29,Baerum ishall,U9,Jutul,6,15,Frisk Asker 2~12km,nei,
2026-12-05,Askerhallen,JU10,Frisk Asker,3,3,Jar Hvit~14km,nei,
2026-12-05,Ringerikshallen,JU8,Ringerike,5,10,Skien~147km,nei,
2026-12-06,Askerhallen,U7,Frisk Asker,8,28,Jar Grønn~14km,nei,
2026-12-06,Askerhallen,U8,Frisk Asker,8,28,Sandefjord~103km,nei,
2026-12-12,Jarhallen,U8,Jar,8,28,Ringerike 2~45km,nei,
2026-12-13,Ringerikshallen,U8,Ringerike,5,10,Frisk Asker 3~50km,nei,
2027-01-09,Tonsberghallen,U11,Tønsberg,6,15,Ringerike 2~131km,nei,
2027-01-09,Baerum ishall,U12,Jutul,4,6,Tønsberg Rød~92km,nei,
