club,label,age_group
Sandefjord Penguins Ishockeyklubb,Sandefjord,U7
Sandefjord Penguins Ishockeyklubb,Sandefjord,U8
Sandefjord Penguins Ishockeyklubb,Sandefjord,U9
Sandefjord Penguins Ishockeyklubb,Sandefjord,U11
Kongsberg,Kongsberg,U8
Kongsberg,Kongsberg,U9
Kongsberg,Kongsberg,U10
Kongsberg,Kongsberg,U12
Kongsberg,Kongsberg,U11
Kongsberg/Tønsberg,Kongsberg/Tønsberg,JU12
Frisk Asker,Frisk Asker 1,U7
Frisk Asker,Frisk Asker 2,U7
Frisk Asker,Frisk Asker 1,U8
Frisk Asker,Frisk Asker 2,U8
Frisk Asker,Frisk Asker 3,U8
Frisk Asker,Frisk Asker 4,U8
Frisk Asker,Frisk Asker 1,U9
Frisk Asker,Frisk Asker 2,U9
Frisk Asker,Frisk Asker 3,U9
Frisk Asker,Frisk Asker 4,U9
Frisk Asker,Frisk Asker 5,U9
Frisk Asker,Frisk Asker 1,U10
Frisk Asker,Frisk Asker 2,U10
Frisk Asker,Frisk Asker 3,U10
Frisk Asker,Frisk Asker 4,U10
Frisk Asker,Frisk Asker 1,U11
Frisk Asker,Frisk Asker 5,U10
Frisk Asker,Frisk Asker 6,U10
Frisk Asker,Frisk Asker 3,U11
Frisk Asker,Frisk Asker 2,U11
Frisk Asker,Frisk Asker 1,U12
Frisk Asker,Frisk Asker 2,U12
Frisk Asker,Frisk Asker 3,U12
Frisk Asker,Frisk Asker 4,U12
