date,arena,age_group,home,away,parallel_slot
2026-09-05,Varner Arena / Askerhallen,JU12,Frisk Asker Orange,Ringerike 1,0
2026-09-05,Varner Arena / Askerhallen,JU12,Jar,Jutul Kittens,1
2026-09-05,Varner Arena / Askerhallen,JU12,Frisk Asker Orange,Jutul Kittens,0
2026-09-05,Varner Arena / Askerhallen,JU12,Jar,Ringerike 1,1
2026-09-05,Varner Arena / Askerhallen,JU12,Frisk Asker Orange,Jar,0
2026-09-05,Varner Arena / Askerhallen,JU12,Jutul Kittens,Ringerike 1,1
2026-09-05,Varner Arena / Askerhallen,U12,Frisk Asker 1,Holmen Hockey Hvit,0
2026-09-05,Varner Arena / Askerhallen,U12,Jar Blå,Tønsberg Grå,1
2026-09-05,Varner Arena / Askerhallen,U12,Frisk Asker 1,Tønsberg Grå,0
2026-09-05,Varner Arena / Askerhallen,U12,Jar Blå,Holmen Hockey Hvit,1
2026-09-05,Varner Arena / Askerhallen,U12,Frisk Asker 1,Jar Blå,0
2026-09-05,Varner Arena / Askerhallen,U12,Tønsberg Grå,Holmen Hockey Hvit,1
2026-09-05,Varner Arena / Askerhallen,U8,Frisk Asker 1,Skien,0
2026-09-05,Varner Arena / Askerhallen,U8,Holmen Hockey Blå,Sandefjord,1
2026-09-05,Varner Arena / Askerhallen,U8,Jar Blå,Kongsberg,2
2026-09-05,Varner Arena / Askerhallen,U8,Jutul Grønn,Ringerike 1,3
2026-09-05,Varner Arena / Askerhallen,U8,Frisk Asker 1,Sandefjord,0
2026-09-05,Varner Arena / Askerhallen,U8,Kongsberg,Skien,1
2026-09-05,Varner Arena / Askerhallen,U8,Ringerike 1,Holmen Hockey Blå,2
2026-09-05,Varner Arena / Askerhallen,U8,Jutul Grønn,Jar Blå,3
2026-09-05,Varner Arena / Askerhallen,U8,Frisk Asker 1,Kongsberg,0
2026-09-05,Varner Arena / Askerhallen,U8,Sandefjord,Ringerike 1,1
2026-09-05,Varner Arena / Askerhallen,U8,Skien,Jutul Grønn,2
2026-09-05,Varner Arena / Askerhallen,U8,Holmen Hockey Blå,Jar Blå,3
2026-09-05,Varner Arena / Askerhallen,U8,Frisk Asker 1,Ringerike 1,0
2026-09-05,Varner Arena / Askerhallen,U8,Jutul Grønn,Kongsberg,1
2026-09-05,Varner Arena / Askerhallen,U8,Jar Blå,Sandefjord,2
2026-09-05,Varner Arena / Askerhallen,U8,Holmen Hockey Blå,Skien,3
2026-09-05,Varner Arena / Askerhallen,U8,Frisk Asker 1,Jutul Grønn,0
2026-09-05,Varner Arena / Askerhallen,U8,Ringerike 1,Jar Blå,1
2026-09-05,Varner Arena / Askerhallen,U8,Kongsberg,Holmen Hockey Blå,2
2026-09-05,Varner Arena / Askerhallen,U8,Sandefjord,Skien,3
2026-09-05,Varner Arena / Askerhallen,U8,Frisk Asker 1,Jar Blå,0
2026-09-05,Varner Arena / Askerhallen,U8,Holmen Hockey Blå,Jutul Grønn,1
2026-09-05,Varner Arena / Askerhallen,U8,Skien,Ringerike 1,2
2026-09-05,Varner Arena / Askerhallen,U8,Sandefjord,Kongsberg,3
2026-09-05,Varner Arena / Askerhallen,U8,Frisk Asker 1,Holmen Hockey Blå,0
2026-09-05,Varner Arena / Askerhallen,U8,Jar Blå,Skien,1
2026-09-05,Varner Arena / Askerhallen,U8,Jutul Grønn,Sandefjord,2
2026-09-05,Varner Arena / Askerhallen,U8,Ringerike 1,Kongsberg,3
2026-09-05,Baerum ishall,U9,Jutul Grønn,Skien,0
2026-09-05,Baerum ishall,U9,Frisk Asker 1,Sandefjord,1
2026-09-05,Baerum ishall,U9,Jar Blå,Ringerike 1,2
2026-09-05,Baerum ishall,U9,Holmen Hockey Hvit,Kongsberg,3
2026-09-05,Baerum ishall,U9,Jutul Grønn,Sandefjord,0
2026-09-05,Baerum ishall,U9,Ringerike 1,Skien,1
2026-09-05,Baerum ishall,U9,Kongsberg,Frisk Asker 1,2
2026-09-05,Baerum ishall,U9,Holmen Hockey Hvit,Jar Blå,3
2026-09-05,Baerum ishall,U9,Jutul Grønn,Ringerike 1,0
2026-09-05,Baerum ishall,U9,Sandefjord,Kongsberg,1
2026-09-05,Baerum ishall,U9,Skien,Holmen Hockey Hvit,2
2026-09-05,Baerum ishall,U9,Frisk Asker 1,Jar Blå,3
2026-09-05,Baerum ishall,U9,Jutul Grønn,Kongsberg,0
2026-09-05,Baerum ishall,U9,Holmen Hockey Hvit,Ringerike 1,1
2026-09-05,Baerum ishall,U9,Jar Blå,Sandefjord,2
2026-09-05,Baerum ishall,U9,Frisk Asker 1,Skien,3
2026-09-05,Baerum ishall,U9,Jutul Grønn,Holmen Hockey Hvit,0
2026-09-05,Baerum ishall,U9,Kongsberg,Jar Blå,1
2026-09-05,Baerum ishall,U9,Ringerike 1,Frisk Asker 1,2
2026-09-05,Baerum ishall,U9,Sandefjord,Skien,3
2026-09-05,Baerum ishall,U9,Jutul Grønn,Jar Blå,0
2026-09-05,Baerum ishall,U9,Frisk Asker 1,Holmen Hockey Hvit,1
2026-09-05,Baerum ishall,U9,Skien,Kongsberg,2
2026-09-05,Baerum ishall,U9,Sandefjord,Ringerike 1,3
2026-09-05,Baerum ishall,U9,Jutul Grønn,Frisk Asker 1,0
2026-09-05,Baerum ishall,U9,Jar Blå,Skien,1
2026-09-05,Baerum ishall,U9,Holmen Hockey Hvit,Sandefjord,2
2026-09-05,Baerum ishall,U9,Kongsberg,Ringerike 1,3
2026-09-06,Baerum ishall,U11,Jutul Grønn,Ringerike 1,0
2026-09-06,Baerum ishall,U11,Jar Blå,Holmen Hockey Hvit,1
2026-09-06,Baerum ishall,U11,Frisk Asker 1,Tønsberg Grå,2
2026-09-06,Baerum ishall,U11,Jutul Grønn,Holmen Hockey Hvit,0
2026-09-06,Baerum ishall,U11,Tønsberg Grå,Ringerike 1,1
2026-09-06,Baerum ishall,U11,Frisk Asker 1,Jar Blå,2
2026-09-06,Baerum ishall,U11,Jutul Grønn,Tønsberg Grå,0
2026-09-06,Baerum ishall,U11,Holmen Hockey Hvit,Frisk Asker 1,1
2026-09-06,Baerum ishall,U11,Ringerike 1,Jar Blå,2
2026-09-06,Baerum ishall,U11,Jutul Grønn,Frisk Asker 1,0
2026-09-06,Baerum ishall,U11,Jar Blå,Tønsberg Grå,1
2026-09-06,Baerum ishall,U11,Ringerike 1,Holmen Hockey Hvit,2
2026-09-06,Baerum ishall,U11,Jutul Grønn,Jar Blå,0
2026-09-06,Baerum ishall,U11,Frisk Asker 1,Ringerike 1,1
2026-09-06,Baerum ishall,U11,Tønsberg Grå,Holmen Hockey Hvit,2
2026-09-06,Tonsberghallen,U12,Tønsberg Hvit,Holmen Hockey Rød,0
2026-09-06,Tonsberghallen,U12,Jar Hvit,Frisk Asker 2,1
2026-09-06,Tonsberghallen,U12,Tønsberg Hvit,Frisk Asker 2,0
2026-09-06,Tonsberghallen,U12,Jar Hvit,Holmen Hockey Rød,1
2026-09-06,Tonsberghallen,U12,Tønsberg Hvit,Jar Hvit,0
2026-09-06,Tonsberghallen,U12,Frisk Asker 2,Holmen Hockey Rød,1
2026-09-12,Baerum ishall,JU10,Jar Blå,Frisk Asker Svart,0
2026-09-12,Baerum ishall,JU10,Frisk Asker Orange,Jar Hvit,1
2026-09-12,Baerum ishall,JU10,Ringerike 1,Skien,2
2026-09-12,Baerum ishall,JU10,Jar Blå,Jar Hvit,0
2026-09-12,Baerum ishall,JU10,Skien,Frisk Asker Svart,1
2026-09-12,Baerum ishall,JU10,Ringerike 1,Frisk Asker Orange,2
2026-09-12,Baerum ishall,JU10,Jar Blå,Skien,0
2026-09-12,Baerum ishall,JU10,Jar Hvit,Ringerike 1,1
2026-09-12,Baerum ishall,JU10,Frisk Asker Svart,Frisk Asker Orange,2
2026-09-12,Baerum ishall,JU10,Jar Blå,Ringerike 1,0
2026-09-12,Baerum ishall,JU10,Frisk Asker Orange,Skien,1
2026-09-12,Baerum ishall,JU10,Frisk Asker Svart,Jar Hvit,2
2026-09-12,Baerum ishall,JU10,Jar Blå,Frisk Asker Orange,0
2026-09-12,Baerum ishall,JU10,Ringerike 1,Frisk Asker Svart,1
2026-09-12,Baerum ishall,JU10,Skien,Jar Hvit,2
2026-09-12,Tonsberghallen,U11,Tønsberg Hvit,Ringerike 2,0
2026-09-12,Tonsberghallen,U11,Jar Grønn,Holmen Hockey Rød,1
2026-09-12,Tonsberghallen,U11,Frisk Asker 2,Jutul Hvit,2
2026-09-12,Tonsberghallen,U11,Tønsberg Hvit,Holmen Hockey Rød,0
2026-09-12,Tonsberghallen,U11,Jutul Hvit,Ringerike 2,1
2026-09-12,Tonsberghallen,U11,Frisk Asker 2,Jar Grønn,2
2026-09-12,Tonsberghallen,U11,Tønsberg Hvit,Jutul Hvit,0
2026-09-12,Tonsberghallen,U11,Holmen Hockey Rød,Frisk Asker 2,1
2026-09-12,Tonsberghallen,U11,Ringerike 2,Jar Grønn,2
2026-09-12,Tonsberghallen,U11,Tønsberg Hvit,Frisk Asker 2,0
2026-09-12,Tonsberghallen,U11,Jar Grønn,Jutul Hvit,1
2026-09-12,Tonsberghallen,U11,Ringerike 2,Holmen Hockey Rød,2
2026-09-12,Tonsberghallen,U11,Tønsberg Hvit,Jar Grønn,0
2026-09-12,Tonsberghallen,U11,Frisk Asker 2,Ringerike 2,1
2026-09-12,Tonsberghallen,U11,Jutul Hvit,Holmen Hockey Rød,2
2026-09-12,Tonsberghallen,U12,Tønsberg Rød,Jutul Grønn,0
2026-09-12,Tonsberghallen,U12,Jar Lilla,Frisk Asker 3,1
2026-09-12,Tonsberghallen,U12,Tønsberg Rød,Frisk Asker 3,0
2026-09-12,Tonsberghallen,U12,Jar Lilla,Jutul Grønn,1
2026-09-12,Tonsberghallen,U12,Tønsberg Rød,Jar Lilla,0
2026-09-12,Tonsberghallen,U12,Frisk Asker 3,Jutul Grønn,1
2026-09-12,Baerum ishall,U7,Jutul Grønn,Frisk Asker 2,0
2026-09-12,Baerum ishall,U7,Jar Blå,Jar Grønn,1
2026-09-12,Baerum ishall,U7,Frisk Asker 1,Tønsberg,2
2026-09-12,Baerum ishall,U7,Holmen Hockey Hvit,Sandefjord,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Jar Grønn,0
2026-09-12,Baerum ishall,U7,Tønsberg,Frisk Asker 2,1
2026-09-12,Baerum ishall,U7,Sandefjord,Jar Blå,2
2026-09-12,Baerum ishall,U7,Holmen Hockey Hvit,Frisk Asker 1,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Tønsberg,0
2026-09-12,Baerum ishall,U7,Jar Grønn,Sandefjord,1
2026-09-12,Baerum ishall,U7,Frisk Asker 2,Holmen Hockey Hvit,2
2026-09-12,Baerum ishall,U7,Jar Blå,Frisk Asker 1,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Sandefjord,0
2026-09-12,Baerum ishall,U7,Holmen Hockey Hvit,Tønsberg,1
2026-09-12,Baerum ishall,U7,Frisk Asker 1,Jar Grønn,2
2026-09-12,Baerum ishall,U7,Jar Blå,Frisk Asker 2,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Holmen Hockey Hvit,0
2026-09-12,Baerum ishall,U7,Sandefjord,Frisk Asker 1,1
2026-09-12,Baerum ishall,U7,Tønsberg,Jar Blå,2
2026-09-12,Baerum ishall,U7,Jar Grønn,Frisk Asker 2,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Frisk Asker 1,0
2026-09-12,Baerum ishall,U7,Jar Blå,Holmen Hockey Hvit,1
2026-09-12,Baerum ishall,U7,Frisk Asker 2,Sandefjord,2
2026-09-12,Baerum ishall,U7,Jar Grønn,Tønsberg,3
2026-09-12,Baerum ishall,U7,Jutul Grønn,Jar Blå,0
2026-09-12,Baerum ishall,U7,Frisk Asker 1,Frisk Asker 2,1
2026-09-12,Baerum ishall,U7,Holmen Hockey Hvit,Jar Grønn,2
2026-09-12,Baerum ishall,U7,Sandefjord,Tønsberg,3
2026-09-13,Baerum ishall,JU12,Jutul/Jar Kittens,Ringerike 2,0
