date,arena,age_group,home,away,parallel_slot
2026-10-10,Askerhallen,JU8,Jar,Ringerike 1,0
2026-10-10,Askerhallen,JU8,Jutul Kittens,Skien,1
2026-10-10,Askerhallen,JU8,Frisk Asker,Skien,0
2026-10-10,Askerhallen,JU8,Jutul Kittens,Ringerike 1,1
2026-10-10,Askerhallen,JU8,Frisk Asker,Jar,0
2026-10-10,Askerhallen,JU8,Ringerike 1,Skien,1
2026-10-10,Askerhallen,JU8,Frisk Asker,Jutul Kittens,0
2026-10-10,Askerhallen,JU8,Jar,Skien,1
2026-10-10,Askerhallen,JU8,Frisk Asker,Ringerike 1,0
2026-10-10,Askerhallen,JU8,Jar,Jutul Kittens,1
2026-10-10,Askerhallen,JU8,(Pause),Frisk Asker,
2026-10-10,Askerhallen,JU8,(Pause),Jar,
2026-10-10,Askerhallen,JU8,(Pause),Jutul Kittens,
2026-10-10,Askerhallen,JU8,(Pause),Ringerike 1,
2026-10-10,Askerhallen,JU8,(Pause),Skien,
2026-10-10,Askerhallen,U11,Holmen Hockey Hvit,Ringerike 1,0
2026-10-10,Askerhallen,U11,Jar Blå,Frisk Asker 1,1
2026-10-10,Askerhallen,U11,Tønsberg Grå,Jutul Grønn,2
2026-10-10,Askerhallen,U11,Frisk Asker 1,Tønsberg Grå,0
2026-10-10,Askerhallen,U11,Jar Blå,Holmen Hockey Hvit,1
2026-10-10,Askerhallen,U11,Jutul Grønn,Ringerike 1,2
2026-10-10,Askerhallen,U11,Frisk Asker 1,Ringerike 1,0
2026-10-10,Askerhallen,U11,Holmen Hockey Hvit,Jutul Grønn,1
2026-10-10,Askerhallen,U11,Jar Blå,Tønsberg Grå,2
2026-10-10,Askerhallen,U11,Frisk Asker 1,Holmen Hockey Hvit,0
2026-10-10,Askerhallen,U11,Jar Blå,Jutul Grønn,1
2026-10-10,Askerhallen,U11,Tønsberg Grå,Ringerike 1,2
2026-10-10,Askerhallen,U11,Frisk Asker 1,Jutul Grønn,0
2026-10-10,Askerhallen,U11,Jar Blå,Ringerike 1,1
2026-10-10,Askerhallen,U11,Tønsberg Grå,Holmen Hockey Hvit,2
2026-10-10,Tonsberghallen,U12,Jar Blå,Holmen Hockey Hvit,0
2026-10-10,Tonsberghallen,U12,Tønsberg Grå,Frisk Asker 1,1
2026-10-10,Tonsberghallen,U12,Frisk Asker 1,Holmen Hockey Hvit,0
2026-10-10,Tonsberghallen,U12,Tønsberg Grå,Jar Blå,1
2026-10-10,Tonsberghallen,U12,Jar Blå,Frisk Asker 1,0
2026-10-10,Tonsberghallen,U12,Tønsberg Grå,Holmen Hockey Hvit,1
2026-10-10,Holmen ishall,U12,Holmen Hockey Rød,Ringerike 1,0
2026-10-10,Holmen ishall,U12,Jutul Grønn,Kongsberg,1
2026-10-10,Holmen ishall,U12,Holmen Hockey Rød,Jutul Grønn,0
2026-10-10,Holmen ishall,U12,Ringerike 1,Kongsberg,1
2026-10-10,Holmen ishall,U12,Holmen Hockey Rød,Kongsberg,0
2026-10-10,Holmen ishall,U12,Jutul Grønn,Ringerike 1,1
2026-10-10,Baerum ishall,U9,Frisk Asker 1,Holmen Hockey Hvit,0
2026-10-10,Baerum ishall,U9,Jutul Grønn,Jar Blå,1
2026-10-10,Baerum ishall,U9,Kongsberg,Skien,2
2026-10-10,Baerum ishall,U9,Ringerike 1,Sandefjord,3
2026-10-10,Baerum ishall,U9,Frisk Asker 1,Sandefjord,0
2026-10-10,Baerum ishall,U9,Holmen Hockey Hvit,Kongsberg,1
2026-10-10,Baerum ishall,U9,Jar Blå,Ringerike 1,2
2026-10-10,Baerum ishall,U9,Jutul Grønn,Skien,3
2026-10-10,Baerum ishall,U9,Frisk Asker 1,Ringerike 1,0
2026-10-10,Baerum ishall,U9,Holmen Hockey Hvit,Sandefjord,1
