Klasse,Dato,Tildelt tid,Endret tid,
U12,10-Oct-26,10:00 - 11:40,13:00 - 14:50,
U12,10/10/26,14:00 - 15:40,14:00 - 14:50,
U9,10/11/26,10:00 - 12:35,12:30 - 15:20,
U12,10/18/26,09:30 - 11:10,15:00 - 16:50,
U10,10/18/26,11:30 - 13:50,12:30 - 14:50,
U11,11/1/26,10:00 - 12:20,13:30 - 15:50,
U11,11/7/26,13:30 - 15:50,Uendret,
U8,11/14/26,10:50 - 13:25,12:15 - 14:50,
U9,11/14/26,15:00 - 17:35,Uendret,
U10,11/21/26,10:00 - 12:20,13:30 - 15:50,
U12,11/22/26,12:20 - 14:00,13:00 - 14:40,
U12,11/29/26,10:00 - 11:40,12:00 - 13:40,
U10,1/9/27,10:00 - 12:20,13:30 - 15:50,
U9,1/16/27,10:50 - 13:25,13:00 - 15:35,
U12,1/17/27,10:00 - 11:40,13:00 - 14:40,
U10,2/6/27,10:00 - 12:20,13:30 - 15:50,
U11,2/14/27,10:00 - 12:20,13:00 - 15:20,
U7,2/20/27,10:00 - 12:35,,Vinterferie
U8,2/21/27,15:00 - 17:35,,Vinterferie
U10,3/6/27,10:00 - 12:20,13:30 - 15:50,
U8,3/7/27,11:30 - 14:05,13:00 - 15:35,
